Altium Designer Pick and Place Locations
D:\Desktop\Универ\Електронна компонентна база\Курсач\Course work\Project Outputs for Course work\Generates pick and place files\[No Variations].txt

========================================================================================================================
File Design Information:

Date:       19.05.21
Time:       15:04
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment              Layer    Footprint       Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                                                          
X2         ConnectorAudio       TopLayer AudioConnector  641.536       2401.575      90       "MOLEX - 43650-0229 - Wire-To-Board Connector, 3 mm, 2 Contacts, Header, Micro-Fit 3.0 43650 Series, Through Hole, 1 Rows"                                                                                                           
X1         +12V                 TopLayer PG_Connector    722.442       3212.599      270      "KYCON - KLDX-0202-A - DC Power Connector, Jack, 3.5 A, 2 mm, PCB Mount, Through Hole"                                                                                                                                               
VT6        BC639                TopLayer BC639           4518.504      748.032       0        "TRANS NPN 80V 1A TO-92"                                                                                                                                                                                                             
VT5        BC639                TopLayer BC639           4518.504      1161.418      0        "TRANS NPN 80V 1A TO-92"                                                                                                                                                                                                             
VT4        BC639                TopLayer BC639           4507.874      1574.804      0        "TRANS NPN 80V 1A TO-92"                                                                                                                                                                                                             
VT3        BC639                TopLayer BC639           4507.874      1988.190      0        "TRANS NPN 80V 1A TO-92"                                                                                                                                                                                                             
VT2        BC639                TopLayer BC639           4498.820      2381.890      0        "TRANS NPN 80V 1A TO-92"                                                                                                                                                                                                             
VT1        BC639                TopLayer BC639           4498.820      2795.276      0        "TRANS NPN 80V 1A TO-92"                                                                                                                                                                                                             
R13        1kR                  TopLayer R1kOhm          4131.856      2795.276      0        "Res Thick Film 0805 1K Ohm 5% 1/8W 200ppm/C Molded SMD SMD Paper T/R"                                                                                                                                                               
R17        1kR                  TopLayer R1kOhm          4155.546      1161.418      0        "Res Thick Film 0805 1K Ohm 5% 1/8W 200ppm/C Molded SMD SMD Paper T/R"                                                                                                                                                               
R16        1kR                  TopLayer R1kOhm          4153.544      1574.804      0        "Res Thick Film 0805 1K Ohm 5% 1/8W 200ppm/C Molded SMD SMD Paper T/R"                                                                                                                                                               
R15        1kR                  TopLayer R1kOhm          4151.542      1988.190      0        "Res Thick Film 0805 1K Ohm 5% 1/8W 200ppm/C Molded SMD SMD Paper T/R"                                                                                                                                                               
R14        1kR                  TopLayer R1kOhm          4135.861      2381.890      0        "Res Thick Film 0805 1K Ohm 5% 1/8W 200ppm/C Molded SMD SMD Paper T/R"                                                                                                                                                               
R12        100R                 TopLayer R100Ohm         4301.182      3070.866      360      "SISTOR, METAL FILM, 100 OHM, 125mW, 0.1%; Product Range:PANASONIC - ERA Series; Resistance:100ohm; Power Rating:125mW; Resistance Tolerance:± 0.1%; Resistor Case Style:0805 ^2012 Metric]; Resistor Element Type:Thin Film; MSL:-" 
R18        1kR                  TopLayer R1kOhm          4173.229      748.032       0        "Res Thick Film 0805 1K Ohm 5% 1/8W 200ppm/C Molded SMD SMD Paper T/R"                                                                                                                                                               
R11        10kR                 TopLayer R10kOhm         2716.536      2913.386      180      "Res Thick Film 0805 10K Ohm 5% 1/8W ±200ppm/°C Molded SMD Paper T/R"                                                                                                                                                                
R10        2.4kR                TopLayer R2.4kohm        2755.906      951.772       90       "Resistor,Metal Glaze,2.4KOhms,150WV,5+/-% Tol,-200,200ppm-TC,0805-Case ;RoHS Compliant: Yes"                                                                                                                                        
R9         2.4kR                TopLayer R2.4kohm        2086.614      984.252       0        "Resistor,Metal Glaze,2.4KOhms,150WV,5+/-% Tol,-200,200ppm-TC,0805-Case ;RoHS Compliant: Yes"                                                                                                                                        
R8         220kR                TopLayer R220kOhm        1791.339      1889.764      180      "RES SMD 220K OHM 5% 1/8W 0805"                                                                                                                                                                                                      
R7         220kR                TopLayer R220kOhm        1791.339      2185.040      0        "RES SMD 220K OHM 5% 1/8W 0805"                                                                                                                                                                                                      
